tweet,sentiment
@iTIGERSHROFF. Just saw Baaghi movie..Its unique good action movie. Not like other bollywood movie hide and seek behind tree.,1
"BOLLYWOOD: Movie Review: Tiger<U+0092>s mean moves apart, Baaghi<U+0092> is a dud https://t.co/LNEnYFtXto",0
"Review: <U+0091>Baaghi,<U+0092> a Bollywood Rebel Tale in Search of a Cause: Fists and feet fly in this movie with... https://t.co/Gv5t0tcbZr NY Times",1
"Review: <U+0091>Baaghi,<U+0092> a Bollywood Rebel Tale in Search of a Cause: Fists and feet fly in this movie with the usua... https://t.co/hnKyLDiwiZ",0
FRIDAY MOVIE DATE | BAAGHI REVIEW: https://t.co/UrZVuQqjxj via @YouTube,1
"first baaghi had the most cliche ass plot, the actor basically played the same character as last time and made the same(but worse) movie",0
@Sudharsan_ak @kamaalrkhan who cares about this guy saying baaghi is a super flop movie? This is his job to criticize movies.,1
#FilmReview | #TigerShroff shines in the mindless action movie that is #Baaghi https://t.co/ILjq6H14kR #Bollywood https://t.co/horzCUggbp,1
"BOLLYWOOD/HOLLYWOOD MASALA: BAAGHI - Rubber Man of Bollywood ""TIGER SHROFF"" https://t.co/UVNpzvCGTY #baaghi movie review #shraddhakapoor ??",1
Baaghi Movie Review - NDTV https://t.co/ZDVTNc0cxA,1
"Baaghi movie review: First half of Tiger Shroff, Shraddha Kapoor film is enjoyable - The Indian Express https://t.co/Xx092hT99C",1
"BAAGHI had a good opening weekend in the US and Canada, despite being a silly movie. My report: https://t.co/NcVVtuxyfo",0
#Baaghi is a colorful patchwork of a movie Is #TigerShroff the nxt Hrithik or the next<U+0085> https://t.co/pNfShtaitr https://t.co/nV40O8ku5F,0
Baaghi was actually a good movie,1
"RT @kathyfgibson: BAAGHI had me laughing out loud, even though it's not a comedy. My review of the hilariously inept new Hindi film: https:<U+0085>",1
"BAAGHI had me laughing out loud, even though it's not a comedy. My review of the hilariously inept new Hindi film: https://t.co/ihjVRClK6X",1
#Baaghi 2016 Hindi Full Movie Online Free https://t.co/G2LYAhk58v,1
#Baaghi 2016 Hindi Full Movie Online Free https://t.co/GFTOfaegXw,1
"#baaghi awsm movie 
Tu bhot aage jyega<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> this dialogue
#siyya n Ronny <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>
@iTIGERSHROFF marry me <ed><U+00A0><U+00BD><ed><U+00B8><U+00B3><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
Luv uh @ShraddhaKapoor <ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>",1
"<U+2B50><U+FE0F> #Movies <U+0095> Review: <U+0091>Baaghi,<U+0092> a Bollywood Rebel Tale in Search of a Cause: Fists and feet fly in this movie ... https://t.co/pZNyqRsNJU",0
Bollywood movie 'Baaghi' Box Office Collections in Pakistan: Bollywood movie 'Baaghi' Box Office Collections ... https://t.co/ImHdEskjHt,1
"Tiger<U+0092>s mean moves apart, Baaghi<U+0092> is a dud (Movie Review) https://t.co/KHR56ZThf3 #bollywood",0
"Shraddha Kapoor, Tiger Shroff, Sudheer Babu: The makers of Baaghi - the writer and the director, two se... https://t.co/SPnvF1Okxd #poll",0
I will watch baaghi movie of shraddha kapoor and tiger shroff...waiting for this movie!,0
RT @dattamit1977: 5 Days to BAAGHI<ed><U+00A0><U+00BD><ed><U+00B2><U+0083>#baaghi movie tickets 2b won<ed><U+00A0><U+00BD><ed><U+00B1><U+008F> Follow @Dattaamit11Amit n identify girl in d video? #rcb 9/1<ed><U+00A0><U+00BD><ed><U+00B1><U+008E> #ipl https:/<U+0085>,0
@PatriotLedger review of #Keanu https://t.co/gvRUdgqN8u,1
RT @TheRealDudja: What an awesome incredibly funny movie @JordanPeele @KeeganMKey #KEANU https://t.co/eE9hopoinz,1
does anyone want to see Keanu with me tomorrow at 5PM at assembly? if I don<U+0092>t see this movie in theaters I<U+0092>m going to be really upset.,0
Saw Keanu at the Regal movie theater in the Fenway area.  Had a good time.  Laughed a lot! LOL!,1
Ok 2nd thoughts @thetrudz not for my kid.  But the preview we liked.   https://t.co/SlK7KVbPOh via @commonsense,0
RT @santideoleo: #Keanu showed up at work this morning and brought me a coffee!! <U+2615><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B0><U+00B1> @keanumovie is out TODAY! This movie is classic<U+0085> https<U+0085>,1
